N,Tiempo (segundos),Primo1,Primo2,algoritmo
39187,0.012207269668579102,263,149,Shor Clasico
39187,0.009829282760620117,149.0,263,Fuerza Bruta
1515223,0.9869229793548584,1283,1181,Shor Clasico
1515223,0.4345064163208008,1181.0,1283,Fuerza Bruta
5714381,0.04868340492248535,2341,2441,Shor Clasico
5714381,1.1822309494018555,2341.0,2441,Fuerza Bruta
11189021,1.0529148578643799,3347,3343,Shor Clasico
11189021,1.5980110168457031,3343.0,3347,Fuerza Bruta
19644433,9.129237174987793,4517,4349,Shor Clasico
19644433,2.4980862140655518,4349.0,4517,Fuerza Bruta
32182529,5.989041805267334,5653,5693,Shor Clasico
32182529,4.028392791748047,5653.0,5693,Fuerza Bruta
46375139,1.6730332374572754,6779,6841,Shor Clasico
46375139,4.489484548568726,6779.0,6841,Fuerza Bruta
61779551,9.086108446121216,7867,7853,Shor Clasico
61779551,5.024755954742432,7853.0,7867,Fuerza Bruta
79761317,0.6902520656585693,8893,8969,Shor Clasico
79761317,6.1377174854278564,8893.0,8969,Fuerza Bruta
101721467,23.9497013092041,10163,10009,Shor Clasico
101721467,6.80251407623291,10009.0,10163,Fuerza Bruta
126380539,0.4678809642791748,11287,11197,Shor Clasico
126380539,8.060356378555298,11197.0,11287,Fuerza Bruta
153312403,19.505516529083252,12343,12421,Shor Clasico
153312403,8.794343709945679,12343.0,12421,Fuerza Bruta
184009081,36.770955085754395,13577,13553,Shor Clasico
184009081,10.505088806152344,13553.0,13577,Fuerza Bruta
214759421,20.50936460494995,14557,14753,Shor Clasico
214759421,11.144307374954224,14557.0,14753,Fuerza Bruta
247747519,342.13764452934265,15731,15749,Shor Clasico
247747519,12.020079851150513,15731.0,15749,Fuerza Bruta
284559797,34.14078497886658,16927,16811,Shor Clasico
284559797,13.957923889160156,16811.0,16927,Fuerza Bruta
324357499,45.2378294467926,17959,18061,Shor Clasico
324357499,15.604517698287964,17959.0,18061,Fuerza Bruta
363660139,269.9307351112366,19139,19001,Shor Clasico
363660139,15.309758424758911,19001.0,19139,Fuerza Bruta
413308891,14.487029075622559,20327,20333,Shor Clasico
413308891,20.43057370185852,20327.0,20333,Fuerza Bruta
457745881,500.3226041793823,21383,21407,Shor Clasico
457745881,17.462141513824463,21383.0,21407,Fuerza Bruta
508682747,236.02903294563293,22541,22567,Shor Clasico
508682747,22.815796613693237,22541.0,22567,Fuerza Bruta
558610309,52.75010108947754,23581,23689,Shor Clasico
558610309,21.45748019218445,23581.0,23689,Fuerza Bruta
610582579,583.9544720649719,24671,24749,Shor Clasico
610582579,21.67444372177124,24671.0,24749,Fuerza Bruta
668584349,200.8325161933899,25847,25867,Shor Clasico
668584349,24.877257823944092,25847.0,25867,Fuerza Bruta
731107037,1.4544439315795898,27061,27017,Shor Clasico
731107037,27.410423755645752,27017.0,27061,Fuerza Bruta
792419899,74.61209678649902,28099,28201,Shor Clasico
792419899,27.379880905151367,28099.0,28201,Fuerza Bruta
862478983,127.96404647827148,29347,29389,Shor Clasico
862478983,36.11063098907471,29347.0,29389,Fuerza Bruta
930188101,23.98958134651184,30469,30529,Shor Clasico
930188101,32.68000936508179,30469.0,30529,Fuerza Bruta
998493437,134.05218696594238,31541,31657,Shor Clasico
998493437,30.48313045501709,31541.0,31657,Fuerza Bruta
1077940223,175.9601662158966,32831,32833,Shor Clasico
1077940223,42.36665940284729,32831.0,32833,Fuerza Bruta
1154501459,2397.210143327713,33923,34033,Shor Clasico
1154501459,38.6628303527832,33923.0,34033,Fuerza Bruta
1232360989,429.9962377548218,35099,35111,Shor Clasico
1232360989,40.14583683013916,35099.0,35111,Fuerza Bruta
1309853639,1192.3184027671814,36107,36277,Shor Clasico
1309853639,39.7364821434021,36107.0,36277,Fuerza Bruta
1402053127,402.2151081562042,37447,37441,Shor Clasico
1402053127,45.58441114425659,37441.0,37447,Fuerza Bruta
1489804643,3052.6257932186127,38567,38629,Shor Clasico
